Source,SS,DF1,DF2,MS,F,p-unc,p-GG-corr,np2,eps,sphericity,W-spher,p-spher,Feature
Subject_Type,2315324.3673291504,1,64,2315324.3673291504,1.3756695387830042,0.24518717574716486,,0.021042530783824884,,,,,max_pupil_size
Block,5260263.6939906115,7,448,751466.2419986587,1.9954938123691779,0.054259825868270335,0.06899050281576087,0.030236819168935034,0.7913205254045976,False,0.39384137081298665,0.0004613048036361715,max_pupil_size
Interaction,1247077.5723300576,7,448,178153.93890429396,0.47308190689602486,0.8541340052588966,,0.0073376654706717856,,,,,max_pupil_size
Subject_Type,240.82656632583516,1,64,240.82656632583516,0.2743581822855167,0.6022323378637398,,0.004268547987790438,,,,,mean_pupil_size
Block,406.25220413564637,7,448,58.036029162235195,0.2970210835142918,0.9549338734836231,0.9281131114382011,0.004619515469130308,0.7941087137125209,False,0.3269881809474977,1.2274424027397689e-05,mean_pupil_size
Interaction,1014.1464720088406,7,448,144.87806742983437,0.74146769147789,0.6368913880189124,,0.011452747642535939,,,,,mean_pupil_size
Subject_Type,0.05807403232041612,1,64,0.05807403232041612,2.5731307770807943,0.11361642430142829,,0.03865119075887969,,,,,median_pupil_size
Block,0.05756745457153514,7,448,0.008223922081647878,3.6987230111006264,0.0006684740054687975,,0.05463504844093061,0.8032379930977913,,,,median_pupil_size
Interaction,0.031339531053927505,7,448,0.004477075864846787,2.013572521644554,0.05198867886437247,,0.030502401926275742,,,,,median_pupil_size
Subject_Type,3.3921353356477447e-16,1,64,3.3921353356477447e-16,0.8776193390372024,0.35237631866328534,,0.013527304916213753,,,,,max_pupil_contraction_rate
Block,3.742001459035645e-15,7,448,5.345716370050922e-16,1.6128590280902015,0.1296316525378202,,0.02458144717333082,0.6579883267896339,,,,max_pupil_contraction_rate
Interaction,2.9320616393933418e-15,7,448,4.188659484847631e-16,1.263762758454729,0.2666724447666628,,0.01936392731648027,,,,,max_pupil_contraction_rate
Subject_Type,0.03140469297890054,1,64,0.03140469297890054,0.6401297077136893,0.42662369329738015,,0.00990297684438744,,,,,mean_pupil_contraction_rate
Block,0.34334210377982094,7,448,0.04904887196854585,2.612960994153275,0.011849910556294953,0.015935031976369727,0.03922601480487587,0.857965290822895,False,0.5168369643414367,0.039539078992465594,mean_pupil_contraction_rate
Interaction,0.03832724623298667,7,448,0.005475320890426667,0.2916845860661617,0.9571073589774469,,0.004536894435791127,,,,,mean_pupil_contraction_rate
Subject_Type,9.468340350319474e-07,1,64,9.468340350319474e-07,3.7301346092874006,0.057869989706805354,,0.05507348583913653,,,,,median_pupil_contraction_rate
Block,2.8840989702223485e-07,7,448,4.1201413860319263e-08,1.9681007471972092,0.0578772904581936,,0.029834127781537323,0.7299105909433161,,,,median_pupil_contraction_rate
Interaction,1.2447203976033842e-07,7,448,1.778171996576263e-08,0.8493935783299302,0.5468293695318301,,0.01309794173023329,,,,,median_pupil_contraction_rate
Subject_Type,986005.8795703738,1,64,986005.8795703738,0.6768229304015821,0.41373769552162265,,0.010464690436787657,,,,,max_pupil_dilation_rate
Block,3536872.0538553507,7,448,505267.4362650501,1.5979245574178669,0.1339118156956539,0.15040669270460977,0.024359376736366154,0.7740187082890632,False,0.35601904289688435,6.743724715353937e-05,max_pupil_dilation_rate
Interaction,978752.6788266301,7,448,139821.81126094717,0.4421909860807075,0.8754213648567033,,0.0068618242073150365,,,,,max_pupil_dilation_rate
Subject_Type,0.013144661846770544,1,64,0.013144661846770544,1.2697949056528208,0.26401251292506195,,0.019454556391487108,,,,,mean_pupil_dilation_rate
Block,0.03698112368727202,7,448,0.005283017669610289,2.2068658138210147,0.03266590193375474,0.0460820159978582,0.03333288453839361,0.7993197320762488,False,0.4412378844701934,0.0034386833381065763,mean_pupil_dilation_rate
Interaction,0.016995353961123172,7,448,0.0024279077087318818,1.0142056787608937,0.420293087334748,,0.015599754979275533,,,,,mean_pupil_dilation_rate
Subject_Type,4.4234631306473053e-07,1,64,4.4234631306473053e-07,2.418252005913898,0.1248602607875643,,0.036409449705159,,,,,median_pupil_dilation_rate
Block,1.1609768928986233e-07,7,448,1.6585384184266048e-08,1.1491423410885675,0.3310987348753786,,0.01763864112089502,0.8258693081845935,,,,median_pupil_dilation_rate
Interaction,1.7472035995293075e-07,7,448,2.496005142184725e-08,1.7293932781974848,0.10018196595558274,,0.026310805439476444,,,,,median_pupil_dilation_rate
Subject_Type,255.72742537313428,1,65,255.72742537313428,10.404940509536537,0.0019686677315659167,,0.13798751698796996,,,,,final_low_load_correct
Block,1120.8059701492534,7,455,160.1151385927505,74.18235975267649,2.968487265759049e-71,2.1929881998097553e-56,0.5329867943358386,0.7779019817657322,False,0.3646374360369784,7.844593972589272e-05,final_low_load_correct
Interaction,12.872438941655673,7,455,1.8389198488079532,0.8519832351866414,0.5447085846666317,,0.012937852336866324,,,,,final_low_load_correct
Subject_Type,181.2846072666968,1,65,181.2846072666968,13.21220604387124,0.0005503697396425819,,0.16892767398045483,,,,,final_low_load_incorrect
Block,119.07276119402985,7,455,17.01039445628998,8.997931085595036,2.0720177455272759e-10,6.35349641192542e-08,0.12159706296635417,0.7093069509029108,False,0.25151276515999443,2.668022122529262e-08,final_low_load_incorrect
Interaction,20.384562038293552,7,455,2.912080291184793,1.5403933073469236,0.1515279485123553,,0.023149747556073498,,,,,final_low_load_incorrect
Subject_Type,175.27275742499643,1,65,175.27275742499643,13.760023058170972,0.00043231332369803634,,0.17470821520720006,,,,,final_high_load_correct
Block,737.2537313432837,7,455,105.3219616204691,49.40776803202215,4.101672867702558e-52,,0.4318567600951115,0.8899365265617054,,,,final_high_load_correct
Interaction,31.328086838533636,7,455,4.475440976933377,2.099481876592359,0.04232238446353564,,0.03128909222359827,,,,,final_high_load_correct
Subject_Type,86.3728704960048,1,65,86.3728704960048,12.985367100052935,0.0006086372616665598,,0.16651030293148572,,,,,final_high_load_incorrect
Block,321.40111940298493,7,455,45.914445628997846,21.8822155581123,1.6875718961787203e-25,,0.2518606991954078,0.8330342800482783,,,,final_high_load_incorrect
Interaction,17.01832504145932,7,455,2.431189291637046,1.1586725574788859,0.32530594170073296,,0.017513539989367638,,,,,final_high_load_incorrect
