Feature,Comparison Type,Level A,Level B,T-Value,Degrees of Freedom,Corrected p-value,Effect Size (Hedges' g),Bayes Factor (BF10)
max_pupil_size,Block,7,8,3.377249290051856,65.0,0.0347305050434583,0.4533430388987099,21.36
median_pupil_size,Block,1,8,-3.3185945473674967,65.0,0.0415890017339193,-0.4428528292019298,18.17
max_pupil_contraction_rate,Block * Subject_Type,0,1,-3.043822080103861,63.1678137377292,0.0272210074207659,-0.6062631772747478,11.205
mean_pupil_contraction_rate,Block,1,4,-3.462231110102005,65.0,0.0266636326215372,-0.5777200977370467,27.097
median_pupil_contraction_rate,Block,5,7,3.608938373748016,65.0,0.016748550187374,0.3371503531873517,41.252
median_pupil_contraction_rate,Block,7,8,-3.521274929157277,65.0,0.022141747314701,-0.3341662214808002,32.044
median_pupil_contraction_rate,Block * Subject_Type,0,1,-2.82993718733374,63.68231549323786,0.0497674676131317,-0.5892919645777822,6.869
final_low_load_correct,Block,1,3,7.814157003844694,66.0,1.5947351038243326e-09,0.7797420068722687,168500000.0
final_low_load_correct,Block,1,4,-5.7805109263233,66.0,6.190774370178027e-06,-0.6038902596776244,63780.0
final_low_load_correct,Block,1,6,11.884312886673705,66.0,1.3168630046958267e-16,1.5040721172158784,1196000000000000.0
final_low_load_correct,Block,1,7,-5.557563931610018,66.0,1.4840549731538628e-05,-0.6736761008577391,27940.0
final_low_load_correct,Block,2,3,5.292544154000724,66.0,4.137143024244009e-05,0.5199183831128205,10650.0
final_low_load_correct,Block,2,4,-8.5848704125339,66.0,6.675230487926904e-11,-0.7620365699450711,3567000000.0
final_low_load_correct,Block,2,6,10.79134436844268,66.0,9.090534352857506e-15,1.18574455507027,19560000000000.0
final_low_load_correct,Block,2,7,-7.543716187009538,66.0,4.859668495245038e-09,-0.8238322926170648,57880000.0
final_low_load_correct,Block,3,4,-13.7340483925326,66.0,1.415440706219068e-19,-1.3620688026047605,9.32e+17
final_low_load_correct,Block,3,5,-6.133862580738292,66.0,1.519922144921982e-06,-0.6727239630449935,241100.0
final_low_load_correct,Block,3,6,6.898692196568021,66.0,6.86453056417163e-08,0.7935474962979873,4597000.0
final_low_load_correct,Block,3,7,-11.146996952951069,66.0,2.2577705940170465e-15,-1.396086434239931,75590000000000.0
final_low_load_correct,Block,3,8,-4.927175596890208,66.0,0.0001651321902751,-0.5764374651949679,2909.784
final_low_load_correct,Block,4,5,7.2804990022923315,66.0,1.4351394456091366e-08,0.7976524630763125,20520000.0
final_low_load_correct,Block,4,6,17.95299781788438,66.0,1.1991876860559246e-25,2.0297278133307586,8.019e+23
final_low_load_correct,Block,4,8,8.1225036849841,66.0,4.474849354238297e-10,0.7187530161844151,571400000.0
final_low_load_correct,Block,5,6,15.45966264327014,66.0,3.56357096337459e-22,1.4819104374422138,3.213e+20
final_low_load_correct,Block,5,7,-6.798787278587522,66.0,1.032233903862803e-07,-0.8603492361631349,3115000.0
final_low_load_correct,Block,6,7,-16.545445689060344,66.0,9.992391156066417e-24,-2.02517010450041,1.058e+22
final_low_load_correct,Block,6,8,-12.180357262736406,66.0,4.2847838061983175e-17,-1.248128084087226,3566000000000000.0
final_low_load_correct,Block,7,8,7.936654134927569,66.0,9.625220973446091e-10,0.7824006796941572,273700000.0
final_low_load_correct,Block * Subject_Type,0,1,-4.1369889450603115,63.521835323932336,0.0008430220012877,-0.8870349501033167,213.269
final_low_load_correct,Block * Subject_Type,0,1,-3.4992901909496625,64.15018449884684,0.0068289653059002,-0.7431846251546,35.233
final_low_load_correct,Block * Subject_Type,0,1,-3.0257931654182726,60.54548480516882,0.029097181178665,-0.6695201744514789,10.764
final_low_load_correct,Block * Subject_Type,0,1,-2.9351244407904993,60.739583160771254,0.0376094999850265,-0.6483233891253665,8.717
final_low_load_incorrect,Block,1,3,3.368799997123892,66.0,0.0353939750694977,0.3594743663428406,20.888
final_low_load_incorrect,Block,1,6,5.830267502784956,66.0,5.086598500674825e-06,0.8188058784927017,76800.0
final_low_load_incorrect,Block,2,6,4.741859557969906,66.0,0.0003283072084392,0.5967039578944102,1532.368
final_low_load_incorrect,Block,3,6,4.330594874621592,66.0,0.0014477364973432,0.4964731055954787,386.605
final_low_load_incorrect,Block,3,7,-3.714345782814223,66.0,0.0117963595505871,-0.5133454219928286,56.419
final_low_load_incorrect,Block,4,6,5.546369137095822,66.0,1.5502374236105208e-05,0.6328750571439604,26820.0
final_low_load_incorrect,Block,5,6,6.293942100552645,66.0,7.993292998401021e-07,0.7264626290580154,443800.0
final_low_load_incorrect,Block,6,7,-6.890689966334803,66.0,7.092739036730616e-08,-0.9001006653886585,4455000.0
final_low_load_incorrect,Block,6,8,-6.379820846189043,66.0,5.654341140804537e-07,-0.6594047046836572,616600.0
final_low_load_incorrect,Block * Subject_Type,0,1,3.266820593065566,57.471590265416886,0.0146978434135276,0.74148889423525,19.347
final_low_load_incorrect,Block * Subject_Type,0,1,5.0833280754983,63.80280556040531,2.7854428701245586e-05,1.016909478487536,4391.391
final_low_load_incorrect,Block * Subject_Type,0,1,3.1498689538932116,61.496004350300346,0.0201755123603629,0.6908495876570262,14.49
final_low_load_incorrect,Block * Subject_Type,0,1,3.4566254827002103,62.98310449741614,0.0078810854739226,0.7462348503846399,31.486
final_high_load_correct,Block,1,2,-4.386726968250463,66.0,0.0011866073997369,-0.5566898615380307,464.683
final_high_load_correct,Block,1,3,-7.43296685899943,66.0,7.666538029763035e-09,-0.9879941286754672,37390000.0
final_high_load_correct,Block,1,5,-5.3547871889174905,66.0,3.256667399002566e-05,-0.6787997044978399,13330.0
final_high_load_correct,Block,1,6,-10.54144986584719,66.0,2.4386226924894467e-14,-1.5444786858706063,7509000000000.0
final_high_load_correct,Block,1,8,-4.210072054286993,66.0,0.0022098550314531,-0.5201736447074657,261.655
final_high_load_correct,Block,2,3,-4.129887383098247,66.0,0.0029184861409007,-0.5338308221790633,202.53
final_high_load_correct,Block,2,6,-9.14696427705704,66.0,6.68124574059796e-12,-1.1029653666992076,32840000000.0
final_high_load_correct,Block,2,7,6.9915971456665,66.0,4.6942753029382226e-08,1.0326542940877017,6607000.0
final_high_load_correct,Block,3,4,7.0160883753984375,66.0,4.2463753166486e-08,0.9188456604036872,7272000.0
final_high_load_correct,Block,3,5,3.268120004684499,66.0,0.0481816538550327,0.3607312466263872,15.84
final_high_load_correct,Block,3,6,-4.30417834735501,66.0,0.0015891327278577,-0.4970062150933819,354.71
final_high_load_correct,Block,3,7,11.409130958612458,66.0,8.16134665472063e-16,1.3915881200144289,203100000000000.0
final_high_load_correct,Block,3,8,3.763032976736711,66.0,0.0100565143599038,0.4827011362965707,65.239
final_high_load_correct,Block,4,5,-4.421117524924702,66.0,0.0010498491584135,-0.583637728752192,520.458
final_high_load_correct,Block,4,6,-10.573179977256636,66.0,2.1506667644792562e-14,-1.5126909391618084,8482000000000.0
final_high_load_correct,Block,4,7,4.479657685877429,66.0,0.0008514598219783,0.6474126054292787,631.932
final_high_load_correct,Block,4,8,-3.3106709363246827,66.0,0.0423213416716883,-0.4132483875965189,17.791
final_high_load_correct,Block,5,6,-7.615640659248363,66.0,3.613721228584926e-09,-0.897869946997317,76890000.0
final_high_load_correct,Block,5,7,8.949019475524267,66.0,1.4998926561422055e-11,1.1189975243159007,15050000000.0
final_high_load_correct,Block,6,7,15.091243706989436,66.0,1.238803782840082e-21,1.9687865546084768,9.51e+19
final_high_load_correct,Block,6,8,7.784094316980096,66.0,1.8050938885132735e-09,1.0117247342251192,149600000.0
final_high_load_correct,Block,7,8,-6.851599940226169,66.0,8.320790203206373e-08,-0.943196152875319,3826000.0
final_high_load_correct,Block * Subject_Type,0,1,-4.274402690600365,48.33117873870424,0.0007174721563631,-1.040015104410799,323.057
final_high_load_correct,Block * Subject_Type,0,1,-3.148171287550105,48.364138235481946,0.0225083169111941,-0.7657912168644753,14.43
final_high_load_correct,Block * Subject_Type,0,1,-3.2108371651529106,42.70112616403576,0.0201240272796885,-0.8187726680685304,16.828
final_high_load_incorrect,Block,1,4,4.463061608236988,66.0,0.0009036652057064,0.6924749434602911,598.018
final_high_load_incorrect,Block,1,6,-5.011376578985152,66.0,0.000120428633837,-0.8131642344384623,3909.098
final_high_load_incorrect,Block,1,7,4.367185585436113,66.0,0.0012718584735381,0.6446572081664509,435.792
final_high_load_incorrect,Block,2,4,5.410539240934602,66.0,2.626267570397332e-05,0.7832530922080859,16320.0
final_high_load_incorrect,Block,2,6,-4.847224875992775,66.0,0.0002224135211301,-0.7690603949629261,2203.289
final_high_load_incorrect,Block,2,7,4.349658219586791,66.0,0.0013533537760602,0.7283160426742545,411.466
final_high_load_incorrect,Block,3,4,7.327183947292054,66.0,1.1845651503659768e-08,0.961284941510836,24650000.0
final_high_load_incorrect,Block,3,6,-3.366005357615816,66.0,0.0357009302404568,-0.5033325925773479,20.726
final_high_load_incorrect,Block,3,7,6.222204770471907,66.0,1.0665733684324203e-06,0.9086523134558564,337400.0
final_high_load_incorrect,Block,4,5,-3.728228146212544,66.0,0.0112729649179577,-0.52967140738755,58.797
final_high_load_incorrect,Block,4,6,-9.119087195420557,66.0,7.486123236394518e-12,-1.4001331493221223,29430000000.0
final_high_load_incorrect,Block,4,8,-5.19441244106461,66.0,6.0213338732923114e-05,-0.7589530982490296,7484.627
final_high_load_incorrect,Block,5,6,-5.821324356096579,66.0,5.2695912229792294e-06,-0.9041050940468665,74280.0
final_high_load_incorrect,Block,5,7,3.5990031038551504,66.0,0.0171370790259839,0.4928376526058929,40.195
final_high_load_incorrect,Block,6,7,8.609890494954058,66.0,6.023290191524086e-11,1.3430364195213906,3938000000.0
final_high_load_incorrect,Block,6,8,4.536953420917412,66.0,0.0006928044718977,0.6903718076557707,765.149
final_high_load_incorrect,Block,7,8,-4.753869960756402,66.0,0.0003141092255816,-0.71337418953067,1596.809
final_high_load_incorrect,Block * Subject_Type,0,1,3.702627781859466,50.6568020974116,0.0042188914892377,0.8848890711528906,61.081
final_high_load_incorrect,Block * Subject_Type,0,1,3.134844324245393,53.88099648767539,0.0222607507973572,0.7312430620334394,13.97
